@relation training_data_20190313_including_non_bisulfite

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {Swift,6N_PBAT,6N_sc,9N_sc,WGBS,RRBS,scNOME,UMI_RRBS,9N_PBAT,Amplicon,NOMEseq,Truseq,RNA,ChIP,ATAC,WGS}

@data
18,0,38,42,33,0,27,38,21,0,39,38,20,0,47,32,23,0,42,34,26,0,50,22,19,0,42,38,41,0,39,18,26,0,42,31,25,0,52,21,16,1,61,21,Amplicon
43,1,37,17,38,0,41,19,33,0,40,24,34,0,41,22,33,2,42,22,32,1,44,20,31,1,45,20,31,1,46,20,30,1,47,20,31,1,47,20,30,1,48,19,Swift
22,27,13,36,25,30,15,29,22,31,13,33,19,30,11,38,36,15,35,13,43,19,22,14,33,29,21,15,41,22,21,14,29,28,24,17,30,17,38,13,30,21,29,18,scNOME
15,0,30,53,33,0,27,38,29,0,36,33,31,0,35,32,30,0,37,31,27,0,49,22,19,0,38,42,40,0,36,23,28,0,35,36,21,0,45,32,15,0,66,17,Amplicon
40,24,26,8,42,22,29,5,44,25,25,4,46,20,28,4,40,30,24,3,34,33,27,4,51,19,25,3,51,18,26,3,50,19,27,2,46,21,29,2,45,21,30,2,9N_PBAT
4,70,21,3,5,3,4,86,4,3,4,86,20,4,31,43,18,5,50,24,27,4,44,22,24,4,37,32,20,6,40,30,28,4,39,26,29,4,43,21,22,4,47,24,RRBS
37,1,44,17,38,1,40,19,37,0,41,20,36,0,42,20,37,0,41,19,36,0,42,19,36,0,42,19,36,0,42,20,37,0,42,19,36,0,42,20,36,0,42,20,WGBS
24,31,18,25,26,32,20,19,24,34,19,20,26,32,17,23,32,16,39,11,49,20,17,11,31,39,17,11,48,23,16,11,26,39,18,16,27,18,41,12,31,25,24,18,9N_sc
25,20,27,26,27,19,26,26,29,20,24,25,34,17,22,25,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,97,1,0,96,1,22,1,56,19,22,4,55,17,RRBS
19,31,19,29,21,30,22,25,22,32,19,25,22,30,19,27,31,15,38,13,45,22,17,14,29,35,18,16,43,25,17,13,22,35,21,20,24,17,42,15,28,22,25,22,6N_sc
21,31,17,29,22,32,21,22,20,36,19,23,20,33,17,28,24,15,48,11,53,21,12,12,24,51,12,12,51,25,10,12,16,50,12,20,18,18,47,15,25,27,20,26,9N_sc
17,0,29,52,35,0,26,38,32,0,34,32,31,0,39,29,28,0,38,33,28,0,47,24,19,0,37,43,41,0,38,20,28,0,37,34,23,0,45,30,19,1,51,28,Amplicon
28,42,8,19,32,48,10,8,29,47,9,13,31,44,9,14,52,24,21,1,52,23,22,1,53,23,21,1,51,24,22,1,50,25,22,1,49,24,23,1,47,25,25,1,6N_PBAT
23,29,23,22,26,31,23,18,24,32,23,19,28,28,20,22,37,16,34,11,47,18,22,11,37,29,21,11,46,21,21,11,33,29,22,13,33,18,36,12,34,22,28,14,scNOME
23,30,22,23,25,30,22,21,24,35,22,18,27,28,19,24,37,16,32,13,45,18,21,13,38,26,21,14,44,20,21,13,37,27,22,13,33,18,33,14,34,20,30,14,scNOME
2,77,18,1,2,1,2,93,1,1,1,95,20,2,33,43,17,3,52,26,29,2,45,22,26,2,37,33,19,6,42,31,31,2,37,28,33,2,43,20,22,2,48,25,RRBS
24,29,23,22,26,31,23,18,24,32,23,19,28,28,20,22,37,16,35,10,48,18,22,10,37,29,21,11,46,20,21,10,33,29,23,13,33,18,36,11,35,21,28,14,scNOME
22,27,14,36,26,29,14,29,21,30,13,33,18,30,11,39,36,15,34,13,42,19,21,15,31,30,20,17,39,23,20,16,26,29,25,17,29,17,38,14,29,22,29,19,scNOME
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,1,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,3,54,18,RRBS
41,1,39,17,37,0,41,20,33,0,41,24,33,0,42,22,33,1,42,21,33,1,44,20,32,1,45,20,32,1,45,20,31,1,46,20,31,0,46,20,31,1,47,19,Swift
25,29,23,20,27,30,22,18,25,33,22,18,29,28,19,22,41,17,30,11,45,18,24,11,41,22,24,11,44,19,24,10,40,22,25,11,37,18,31,12,37,20,30,11,scNOME
