@relation training_data_summary_sorted

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {NOMEseq,9N_PBAT,6N_PBAT,6N_sc,UMI_RRBS,Swift,WGBS,Truseq,Amplicon,RRBS,scNOME}

@data
24,31,18,26,26,32,20,20,24,34,20,20,25,32,17,24,30,17,40,11,50,21,16,11,29,41,16,11,48,24,14,11,24,41,17,16,24,19,42,12,29,26,24,19,9N_PBAT
24,31,18,25,26,32,20,19,24,34,19,20,26,32,17,23,32,16,39,11,49,20,17,11,31,39,17,11,48,23,16,11,26,39,18,16,27,18,41,12,31,25,24,18,9N_PBAT
26,30,19,23,28,31,21,18,27,33,20,19,29,31,18,20,37,17,34,10,48,20,21,10,36,31,21,10,47,22,19,10,32,31,22,13,32,19,37,10,35,23,27,14,9N_PBAT
26,30,19,23,28,31,20,19,27,33,19,19,28,31,18,20,36,17,35,10,48,20,20,10,35,32,20,10,47,22,19,10,31,33,21,13,31,19,39,10,34,23,27,14,9N_PBAT
23,31,17,26,24,32,21,21,23,35,19,21,23,33,18,25,26,15,46,11,52,21,14,11,26,46,14,12,50,25,12,11,19,46,15,17,20,17,48,12,27,27,24,21,9N_PBAT
26,30,18,24,29,32,19,19,27,34,20,18,29,31,17,21,37,18,32,10,47,20,20,10,35,32,20,11,46,24,18,10,32,32,21,13,32,21,34,11,35,24,25,14,9N_PBAT
23,31,18,26,24,33,21,20,22,35,19,22,24,31,17,26,28,15,43,12,51,20,14,13,27,44,14,12,49,23,14,12,21,44,16,18,23,17,43,14,29,25,21,22,9N_PBAT
24,31,18,25,26,32,20,19,24,35,19,19,26,32,17,22,32,16,40,10,50,20,17,10,31,39,17,11,49,24,15,10,26,39,18,15,26,19,42,11,31,25,25,17,9N_PBAT
27,28,18,24,30,30,18,19,27,32,21,18,30,30,18,20,41,18,28,11,45,19,23,11,38,27,23,11,44,22,21,11,36,26,23,12,36,21,30,11,37,22,26,13,9N_PBAT
23,31,18,26,25,32,20,21,23,35,19,21,24,32,17,25,28,16,43,11,51,20,15,11,27,44,15,12,49,24,13,12,22,44,16,17,22,19,45,13,28,26,23,20,9N_PBAT
25,31,18,25,27,32,21,19,25,34,19,19,26,32,18,22,32,16,40,10,50,20,17,10,31,39,17,11,49,24,16,10,26,39,18,15,26,18,42,11,31,25,25,17,9N_PBAT
25,30,18,25,26,31,20,21,25,33,20,21,26,31,18,23,32,17,38,11,48,20,19,12,31,36,19,12,46,23,17,11,27,36,20,15,27,19,40,12,30,25,26,17,9N_PBAT
24,31,18,24,26,32,20,19,25,34,19,20,26,32,18,22,32,16,39,10,50,20,18,10,31,39,18,10,48,23,17,10,27,39,18,14,27,19,42,11,31,25,25,17,9N_PBAT
24,31,18,25,26,32,20,20,24,35,19,20,25,32,17,23,32,17,39,11,49,20,17,11,31,39,17,11,47,24,16,11,25,39,18,15,26,19,41,12,30,25,24,18,9N_PBAT
25,31,18,24,27,32,20,19,25,34,19,19,27,31,18,22,33,17,38,10,50,20,18,10,32,37,18,10,48,23,16,10,27,38,18,15,27,19,41,11,31,25,25,17,9N_PBAT
23,31,17,28,24,31,20,22,23,35,19,22,24,32,17,26,27,17,42,12,50,22,14,12,26,45,14,12,48,26,12,12,20,45,15,18,21,20,45,13,26,28,23,21,9N_PBAT
22,31,18,27,23,32,21,22,21,35,19,23,22,32,18,27,25,15,46,12,52,20,12,13,24,48,13,13,50,24,11,13,17,48,13,20,20,17,46,15,26,27,21,24,9N_PBAT
26,30,19,22,29,31,20,18,27,33,20,18,29,31,18,20,38,17,33,10,47,19,21,10,36,30,22,10,47,22,20,10,33,30,22,13,33,18,36,10,35,22,27,14,9N_PBAT
27,30,19,22,29,31,20,18,27,33,19,18,30,30,19,20,38,16,34,10,48,19,21,10,37,30,21,10,47,21,20,10,34,30,22,12,33,19,36,10,35,22,27,13,9N_PBAT
24,31,18,25,26,32,20,20,24,35,19,20,25,32,18,23,30,16,41,10,51,21,16,10,29,41,16,11,50,24,14,10,24,41,17,15,25,19,44,11,30,26,25,18,9N_PBAT
26,31,18,23,29,31,20,18,26,34,20,18,29,30,18,21,36,17,35,10,49,20,20,10,35,34,20,10,48,23,18,10,31,34,20,13,31,19,37,10,34,24,25,15,9N_PBAT
24,30,17,26,25,32,20,21,23,34,19,21,25,32,17,25,29,16,42,11,51,21,15,11,28,43,15,12,49,24,13,11,23,43,16,16,24,19,43,12,29,26,23,20,9N_PBAT
24,31,17,26,26,33,20,19,23,36,19,20,25,32,17,23,29,16,43,10,52,20,16,10,29,43,16,10,51,23,14,10,24,43,16,16,24,18,45,11,29,27,24,18,9N_PBAT
27,30,18,24,29,31,19,18,27,33,20,18,30,30,17,21,38,18,31,10,47,20,21,10,36,30,21,10,46,23,19,10,34,30,21,12,33,21,34,10,35,23,26,13,9N_PBAT
22,30,18,27,24,32,21,21,21,35,20,22,22,33,17,26,27,15,46,10,53,20,14,11,26,47,14,11,51,24,12,11,19,47,14,18,22,18,44,14,29,24,20,24,9N_PBAT
26,30,19,23,29,31,20,18,27,33,20,18,30,30,18,20,38,17,32,10,47,19,22,10,37,29,22,10,46,22,20,10,34,29,23,12,33,19,35,10,36,22,27,13,9N_PBAT
30,6,40,22,32,4,39,23,31,4,40,23,31,4,39,25,31,3,41,23,30,3,41,23,31,3,40,23,31,3,40,24,31,3,40,24,30,3,41,23,30,3,41,23,NOMEseq
30,6,40,22,32,4,40,23,31,4,41,23,30,4,40,24,31,3,42,22,30,3,42,23,31,3,41,23,31,3,41,23,31,3,42,23,30,3,42,22,30,3,43,23,NOMEseq
26,6,33,34,41,4,32,21,27,4,46,21,27,17,32,22,41,3,33,21,27,4,33,34,41,3,33,21,27,3,32,35,27,16,33,22,27,16,33,21,27,3,33,35,NOMEseq
30,6,40,21,33,4,38,23,32,4,39,23,31,4,39,24,32,4,41,22,31,4,41,23,32,4,40,23,31,4,40,23,31,4,40,22,31,4,41,22,31,3,41,23,NOMEseq
27,5,37,29,38,3,36,20,28,3,46,20,28,13,37,21,38,3,37,20,28,3,38,30,38,3,37,20,28,2,37,30,28,12,38,20,28,12,39,20,28,2,38,30,NOMEseq
25,6,35,32,39,4,34,21,26,4,48,21,26,16,34,22,39,3,35,21,26,3,36,33,39,3,35,21,26,3,35,34,26,16,36,21,26,15,36,21,26,3,36,33,NOMEseq
33,6,42,17,33,3,38,23,34,3,38,23,32,4,40,23,31,3,43,21,31,3,42,22,31,3,41,22,31,3,41,22,31,3,41,22,31,3,41,22,31,3,41,22,NOMEseq
31,7,41,19,33,4,38,24,33,4,38,24,32,4,38,24,31,3,42,22,31,3,42,22,31,3,41,23,32,3,40,23,32,3,40,23,31,3,41,23,31,3,42,22,NOMEseq
29,42,8,17,33,48,10,7,30,47,9,12,34,42,9,12,54,22,22,1,53,22,22,0,55,21,22,1,53,22,23,0,52,22,23,1,51,22,24,1,49,23,25,1,6N_PBAT
28,42,8,19,32,49,10,7,29,48,10,12,33,42,10,13,53,23,21,1,53,23,22,0,54,22,21,1,52,24,22,0,51,24,22,1,50,23,23,1,48,25,25,1,6N_PBAT
29,43,8,18,33,48,10,7,29,47,9,12,33,43,9,13,53,23,22,1,52,23,23,0,55,22,21,1,52,24,22,0,52,24,22,0,50,23,23,1,48,25,25,1,6N_PBAT
27,43,8,19,31,49,10,9,28,48,9,13,30,44,9,14,50,25,21,1,51,24,22,1,53,23,21,1,50,26,21,1,49,26,22,1,49,25,23,2,46,26,24,2,6N_PBAT
27,43,8,19,31,49,10,8,28,48,9,13,30,44,9,14,50,25,21,1,51,24,21,1,53,24,20,1,50,26,22,1,49,25,22,1,48,25,23,2,46,26,24,2,6N_PBAT
28,42,8,19,32,48,10,8,29,47,9,13,31,44,9,14,52,24,21,1,52,23,22,1,53,23,21,1,51,24,22,1,50,25,22,1,49,24,23,1,47,25,25,1,6N_PBAT
20,29,19,30,21,30,20,27,20,32,19,27,22,29,19,28,29,15,39,15,45,20,17,16,28,36,18,16,44,23,17,14,22,36,19,21,25,18,39,17,29,22,24,24,6N_sc
20,29,19,30,22,30,20,27,21,31,19,27,23,28,19,28,31,15,38,15,45,19,18,16,29,35,18,16,44,23,17,14,24,35,19,20,26,18,38,17,30,21,24,23,6N_sc
17,34,18,29,18,31,24,25,21,33,18,25,19,33,18,28,26,15,44,13,48,25,11,13,23,46,12,18,46,29,11,13,14,46,16,22,17,17,49,15,25,26,22,26,6N_sc
17,33,18,30,18,31,23,25,21,33,18,25,19,32,18,28,26,15,45,13,49,25,11,14,23,46,12,17,46,29,10,13,14,46,16,22,17,17,48,15,25,26,22,26,6N_sc
18,33,18,30,19,31,23,26,21,33,19,26,19,32,18,28,26,15,43,13,47,24,12,14,23,44,13,17,45,28,12,13,15,44,17,22,18,18,47,16,25,25,22,26,6N_sc
17,34,17,29,18,32,23,25,21,34,19,25,18,33,18,28,25,15,46,13,49,25,10,13,22,48,11,17,46,29,10,12,12,48,15,22,15,17,50,15,23,27,22,26,6N_sc
20,30,19,29,22,29,21,26,23,31,19,25,23,29,19,26,32,15,36,14,44,21,19,14,30,32,20,16,42,23,19,13,25,32,22,19,27,17,39,15,30,21,26,21,6N_sc
19,32,18,30,20,30,22,26,22,32,18,25,21,31,19,27,28,16,40,14,46,23,15,15,26,39,16,17,44,27,15,13,19,39,18,21,22,18,42,16,27,24,23,24,6N_sc
22,28,19,29,24,29,20,25,23,31,19,25,25,28,19,26,35,15,35,13,45,19,21,14,33,29,22,14,44,21,20,13,29,29,22,17,30,17,37,14,32,20,27,18,6N_sc
18,29,18,33,21,30,20,27,20,32,20,27,21,29,19,29,30,15,39,14,45,19,19,15,29,34,19,15,43,22,19,14,24,34,20,20,25,18,39,16,29,21,25,23,6N_sc
20,31,19,28,21,30,22,25,23,32,19,25,23,30,19,26,32,15,38,13,46,21,18,13,30,35,18,15,44,24,17,12,24,35,21,18,25,17,42,14,29,22,26,21,6N_sc
19,31,19,29,21,30,22,25,22,32,19,25,22,30,19,27,31,15,38,13,45,22,17,14,29,35,18,16,43,25,17,13,22,35,21,20,24,17,42,15,28,22,25,22,6N_sc
17,33,18,30,18,31,23,26,20,34,18,26,19,32,18,29,26,15,43,13,48,24,12,15,23,45,12,17,45,28,11,13,15,44,16,23,19,17,46,16,25,26,21,27,6N_sc
17,33,17,30,19,31,23,25,21,33,18,25,19,32,18,29,27,15,43,13,48,24,11,15,23,45,13,17,45,28,12,13,15,46,17,21,19,17,47,15,25,26,22,25,6N_sc
16,33,17,32,17,32,22,27,18,35,18,27,17,32,18,31,23,14,47,14,50,23,9,16,21,49,10,18,47,28,9,14,11,49,13,25,17,17,45,19,23,26,18,31,6N_sc
18,32,18,30,19,31,22,26,21,33,18,26,19,32,18,28,25,15,45,13,48,24,12,14,23,46,13,17,47,28,11,12,15,45,15,22,18,18,47,15,24,26,22,26,6N_sc
19,29,18,32,20,29,20,28,20,32,19,28,21,29,18,30,26,16,41,16,46,21,14,18,24,41,15,18,44,25,15,15,18,41,17,22,22,18,40,18,26,25,21,26,6N_sc
19,30,18,31,20,31,20,27,20,32,19,27,21,29,18,29,29,15,40,14,47,20,16,15,27,39,16,16,45,24,16,14,21,38,18,21,24,18,39,17,28,22,23,25,6N_sc
18,33,18,30,19,31,22,26,21,33,19,26,20,32,18,29,27,15,42,14,47,23,13,15,24,43,13,18,45,27,12,14,16,43,17,22,20,18,44,16,25,25,22,26,6N_sc
16,34,17,31,17,31,23,26,19,34,18,26,18,32,18,31,24,15,46,13,49,25,9,14,21,49,10,18,47,30,9,13,11,49,14,24,15,17,49,16,22,27,20,29,6N_sc
17,33,18,30,19,31,22,26,20,33,19,26,19,31,18,29,27,15,43,14,47,24,12,15,24,44,13,17,44,28,12,14,15,43,17,22,19,17,45,16,25,25,22,26,6N_sc
17,34,17,30,18,32,23,25,21,34,18,25,19,33,18,29,26,15,44,13,49,25,10,15,22,47,11,18,46,29,10,13,13,48,15,22,18,17,48,15,24,27,21,26,6N_sc
